cutoff,factor,min,q01,median,q99,max,mean,std
2025-09-04,_pd_present_factor,0.8985584861873521,0.9057874771276833,1.0,1.1069252168221242,1.112777257107154,1.0060949868510005,0.049231678731759716
2025-09-04,_pd_searches_factor,0.934489546858079,0.9368337300097884,0.9999999999999999,1.0703945625548206,1.0709414762301062,1.0017814867245272,0.029052183184098884
2025-09-04,_pd_carts_factor,0.9199473246218106,0.9389165378068961,1.0000000000000002,1.0872045898393523,1.1027472866055568,1.0001491262171553,0.03523954535973623
2025-09-04,_pd_orders_factor,0.9220585579099595,0.9267746132831649,1.0,1.1152786052135422,1.1168498972339922,1.0078447128819108,0.049551475461178246
2025-09-04,_pd_gmv_factor,0.9239581852522016,0.9292270047882002,1.0,1.1018810708277278,1.10845160651345,1.0020709256086175,0.04446267749025909
2025-09-18,_pd_present_factor,0.882044503834534,0.8909770799442249,1.0,1.0939045433418546,1.1000319544503834,1.0054324179513,0.05186284976293652
2025-09-18,_pd_searches_factor,0.933119987948134,0.9349170218858847,1.0,1.0653536325012913,1.0678869259232495,1.0019110256699508,0.027948016116560177
2025-09-18,_pd_carts_factor,0.9271135968382869,0.9384477195537638,1.0,1.0850776171731351,1.0993107472963455,1.0008189225537019,0.033597415547649896
2025-09-18,_pd_orders_factor,0.9281542431432334,0.9306230736756863,0.9999999999999999,1.1053159834416593,1.1062069603150322,1.0068653321469454,0.044299626798035084
2025-09-18,_pd_gmv_factor,0.9112232218205546,0.914445929203604,1.0,1.0977118421030787,1.1032694771408817,0.9998656040653446,0.04108991862009427
2025-10-02,_pd_present_factor,0.8529837429217777,0.8706164200705363,1.0,1.0871103991906588,1.0983152777192315,0.9998935241779738,0.054252833650486734
2025-10-02,_pd_searches_factor,0.9582692685867465,0.9603590750516542,1.0,1.0664115466717214,1.0722822578178708,1.0043555014036187,0.02544394691057834
2025-10-02,_pd_carts_factor,0.9299572291356912,0.9404097516925618,0.9999999999999998,1.0906227932002104,1.1075864033886178,1.0038909577591515,0.035393146313399786
2025-10-02,_pd_orders_factor,0.9399051606658403,0.9448655860505063,1.0,1.1042502529534863,1.1077545759436263,1.00865898392094,0.040210537210028055
2025-10-02,_pd_gmv_factor,0.9144217041208598,0.916180636398155,1.0,1.1026181622083449,1.1056452046930403,1.0039055050730907,0.04097313464752225
2025-10-16,_pd_present_factor,0.8401456353307529,0.853828601536061,1.0,1.0988219479738721,1.101046331759445,0.992506580384263,0.056094422220176195
2025-10-16,_pd_searches_factor,0.9512142646426207,0.9513826564316561,1.0,1.0740114771813247,1.1126707810140546,1.0026298624546037,0.029550685606903403
2025-10-16,_pd_carts_factor,0.9251788982151425,0.9331636492552686,0.9999999999999999,1.1027287998115198,1.1322636516558406,1.005356036428463,0.04201548152957037
2025-10-16,_pd_orders_factor,0.9410551320596794,0.9417269895194257,0.9999999999999999,1.099738413570223,1.1000830101794288,1.008355259504298,0.041009524684506304
2025-10-16,_pd_gmv_factor,0.9141874114537953,0.9162472511981214,1.0,1.1013156716322043,1.1059228210144714,1.0057309080920702,0.042131667086363705
2026-02-13,_pd_present_factor,0.6100713462284247,0.7209070480298772,1.0,1.088202106918406,1.1009206479066282,0.9926317473303454,0.06759171261975187
2026-02-13,_pd_searches_factor,0.8359127386115699,0.9005717383391904,1.0000000000000002,1.0885322587360489,1.1010777037971609,0.9946720310881043,0.042306333246674446
2026-02-13,_pd_carts_factor,0.7874082828673917,0.8574652166347364,1.0,1.1456815854789952,1.159172425137671,1.0046085981498698,0.05893584551335402
2026-02-13,_pd_orders_factor,0.8438093062105915,0.8762073842348732,1.0,1.244926470916513,1.2769215390696982,1.0208031493427256,0.08771803518465525
2026-02-13,_pd_gmv_factor,0.7557916709268573,0.8294452132002549,1.0,1.397518748931151,1.4251148988126807,1.0343830823826097,0.13369253042086954
