fold,scope,n,gmv_share_search,gmv_share_catalog,zero_rate_s,zero_rate_c,zero_rate_total,regime_neither,regime_search_only,regime_catalog_only,regime_both,pearson_logsc_all,spearman_logsc_all,pearson_logsc_total_positive,spearman_logsc_total_positive,pearson_logsc_both_positive,spearman_logsc_both_positive,past90_future_u_pearson,past90_future_u_spearman,switch_rate
2025-09-04,rec_buy_15_60,53224,0.9236710812027028,0.07632891879729714,0.4348790019540056,0.9251277619119195,0.4164098902750638,0.4164098902750638,0.5087178716368553,0.01846911167894183,0.05640312640913873,0.13101741487984087,0.12852687578286617,-0.1389933425658319,-0.07049329653826758,0.21736671017096135,0.1966804193969867,0.11494173464216674,0.04191356034869204,0.07569893281226514
2025-09-04,w180_days_buy_2_15,107913,0.9278512225753689,0.07214877742463108,0.39114842512023545,0.9203895730820203,0.3727632444654486,0.3727632444654486,0.5476263286165719,0.018385180654786726,0.0612252462631935,0.11519850907993688,0.11517344355615132,-0.14117201820582476,-0.0692374356316213,0.1910041746762041,0.17365252399765044,0.1527089817451367,0.10017678886676494,0.07784974933511256
2025-09-04,intersection,43302,0.9213055457028616,0.07869445429713842,0.43656182162486723,0.9277862454390107,0.4167013070989792,0.4167013070989792,0.5110849383400308,0.019860514525887947,0.052353240035102305,0.10853734234947199,0.10672183189566276,-0.17619013770976355,-0.09929476737700046,0.20358221193300646,0.17831298461788264,0.1099615021453996,0.05830015352086444,0.07849521962034088
2025-09-04,w180_days_buy_0_1,41580,0.9262903775764254,0.07370962242357447,0.8060846560846551,0.9806637806637788,0.7962241462241452,0.7962241462241452,0.1844396344396344,0.00986050986050986,0.009475709475709476,0.10768023970440287,0.10890720170299906,-0.33533790937324015,-0.22236469156220598,0.12453592574957653,0.09986584936968823,0.13415622605380023,0.13522649786397944,0.0088023088023088
2025-09-04,w180_days_buy_ge16,39025,0.9301354030494545,0.06986459695054549,0.059449071108263946,0.7994875080076869,0.052274183215887254,0.052274183215887254,0.7472133247917996,0.007174887892376683,0.19333760409993594,0.12659972673927808,0.12652592940125812,0.072655593567198,0.09123674875746575,0.19924108584231803,0.18725236387424793,0.32558788935450217,0.2714882412483872,0.09360666239590007
2025-09-04,actual_total_y_0,75373,0.5,0.5,1.0000000000000033,1.0000000000000033,1.0000000000000033,1.0000000000000033,0.0,0.0,0.0,,,,,,,,,0.0
2025-09-04,gmv_low_0_100,66307,0.9400917676767001,0.05990823232329976,0.03335997707632678,0.8987135596543352,0.0,0.0,0.8987135596543352,0.03335997707632678,0.06792646326933809,-0.35971315904506523,-0.19086916445340438,-0.35971315904506523,-0.19086916445340438,-0.13911792689434804,-0.15673374373313606,0.18626315089732662,0.1659716875890354,0.11051623508830138
2025-09-04,gmv_medium_100_1000,43861,0.9329076890406977,0.0670923109593024,0.010236884703951118,0.7857777980438203,0.0,0.0,0.7857777980438203,0.010236884703951118,0.2039853172522287,-0.32480127220515853,-0.15494443776260458,-0.32480127220515853,-0.15494443776260458,-0.26186866394508734,-0.20369949590614048,0.28844059548339546,0.2709101874441588,0.10850185814276919
2025-09-04,gmv_high_gt1000,2977,0.915087852805866,0.08491214719413398,0.004366812227074236,0.627813234800134,0.0,0.0,0.627813234800134,0.004366812227074236,0.36781995297279124,-0.37566878578718965,-0.26530447056185313,-0.37566878578718965,-0.26530447056185313,-0.4531905918427047,-0.41521297596017354,0.33919570766101065,0.36085259065985253,0.11185757473967083
2025-09-18,rec_buy_15_60,57084,0.9226341178377331,0.07736588216226711,0.4254957606334522,0.9237789923621326,0.40682152617195694,0.40682152617195694,0.5169574661901757,0.018674234461495343,0.05754677317637166,0.12404581607561155,0.12450644625425186,-0.14528210498687008,-0.07292359311576604,0.19770248647137253,0.17154264847115386,0.1145765371060936,0.0379639911858079,0.07580057459182955
