original_path,reason,used_for_facts
AGENTS.md,explicitly_excluded_agent_or_state_document,no
DISCRIPTION.md,navigation_or_project_summary_not_used_as_fact_source,no
docs/superpowers/plans/2026-08-20-future-funnel-supervision.md,instruction_or_plan_document,no
docs/superpowers/specs/2026-08-12-count-mixture-design.md,instruction_or_plan_document,no
experiments/DISCRIPTION.md,navigation_or_project_summary_not_used_as_fact_source,no
experiments/INDEPENDENT_STAGE1_FINDINGS.md,secondary_project_state_or_findings_summary,no
experiments/README.md,navigation_or_project_summary_not_used_as_fact_source,no
HISTORY.md,explicitly_excluded_agent_or_state_document,no
PROBABLY_EXP.md,secondary_project_state_or_findings_summary,no
README.md,navigation_or_project_summary_not_used_as_fact_source,no
research/eda/README.md,navigation_or_project_summary_not_used_as_fact_source,no
research/README.md,navigation_or_project_summary_not_used_as_fact_source,no
research/rmsle_diagnostics/README.md,navigation_or_project_summary_not_used_as_fact_source,no
research/strategies/STRATEGIES_INDEX.md,instruction_roadmap_or_secondary_summary,no
research/strategy_1.md,secondary_strategy_document,no
research/strategy_1_results.md,secondary_strategy_document,no
research/strategy_2.md,secondary_strategy_document,no
research/strategy_comparison.md,secondary_strategy_document,no
research/strategy_NN_1.md,secondary_strategy_document,no
research/strategy_NN_2.md,secondary_strategy_document,no
research/strategy_NN_report.md,secondary_strategy_document,no
STATE.md,explicitly_excluded_agent_or_state_document,no
пайплайн сокомандника/friend_original/submission_STRONGEST_CURRENT/README.md,navigation_or_project_summary_not_used_as_fact_source,no
пайплайн сокомандника/provenance/PROJECT_STATE_AFTER_PHASE11.md,instruction_roadmap_or_secondary_summary,no
