team_fraction_of_tab_slot,team_absolute_weight,wcv
0.0,0.0,1.7475098625201952
0.005,0.0027500000000000003,1.7475014057182994
0.01,0.0055000000000000005,1.7474930434552964
0.015,0.00825,1.7474847757325453
0.02,0.011000000000000001,1.7474766025513913
0.025,0.013750000000000002,1.7474685239131627
0.03,0.0165,1.7474605398191736
0.035,0.019250000000000003,1.747452650270723
0.04,0.022000000000000002,1.747444855269093
0.045,0.02475,1.7474371548155523
0.05,0.027500000000000004,1.747429548911352
0.055,0.030250000000000003,1.7474220375577305
0.06,0.033,1.7474146207559131
0.065,0.035750000000000004,1.747407298507109
0.07,0.038500000000000006,1.7474000708125084
0.075,0.04125,1.7473929376732877
0.08,0.044000000000000004,1.7473858990906073
0.085,0.04675000000000001,1.7473789550656116
0.09,0.0495,1.747372105599431
0.095,0.052250000000000005,1.7473653506931792
0.1,0.05500000000000001,1.7473586903479552
0.105,0.05775,1.747352124564843
0.11,0.060500000000000005,1.7473456533449105
0.115,0.06325000000000001,1.7473392766892004
0.12,0.066,1.7473329945986937
0.125,0.06875,1.7473268070744037
0.13,0.07150000000000001,1.7473207141173372
0.135,0.07425000000000001,1.7473147157284858
0.14,0.07700000000000001,1.7473088119088256
0.145,0.07975,1.7473030026593175
0.15,0.0825,1.7472972879809068
0.155,0.08525,1.7472916678745236
0.16,0.08800000000000001,1.747286142341072
0.165,0.09075000000000001,1.7472807113814457
0.17,0.09350000000000001,1.7472753749965286
0.17500000000000002,0.09625000000000002,1.7472701331871898
0.18,0.099,1.7472649859542817
0.185,0.10175000000000001,1.7472599332986434
0.19,0.10450000000000001,1.7472549752210962
0.195,0.10725000000000001,1.7472501117224482
0.2,0.11000000000000001,1.7472453428034838
0.20500000000000002,0.11275000000000002,1.7472406684649424
0.21,0.1155,1.7472360887075784
0.215,0.11825000000000001,1.7472316035321385
0.22,0.12100000000000001,1.7472272129393522
0.225,0.12375000000000001,1.7472229169299345
0.23,0.12650000000000003,1.7472187155045857
0.23500000000000001,0.12925000000000003,1.7472146086639895
0.24,0.132,1.7472105964088154
0.245,0.13475,1.7472066787397158
0.25,0.1375,1.7472028556573302
0.255,0.14025,1.7471991271622804
0.26,0.14300000000000002,1.7471954932551743
0.265,0.14575000000000002,1.747191953936604
0.27,0.14850000000000002,1.747188509207146
0.275,0.15125000000000002,1.7471851590673613
0.28,0.15400000000000003,1.7471819035177962
0.28500000000000003,0.15675000000000003,1.74717874255898
0.29,0.1595,1.7471756761914181
0.295,0.16225,1.747172704415609
0.3,0.165,1.7471698272320373
0.305,0.16775,1.7471670446411716
0.31,0.1705,1.7471643566434663
0.315,0.17325000000000002,1.747161763239357
0.32,0.17600000000000002,1.747159264429257
0.325,0.17875000000000002,1.747156860213571
0.33,0.18150000000000002,1.7471545505926918
0.335,0.18425000000000002,1.7471523355669965
0.34,0.18700000000000003,1.7471502151368432
0.34500000000000003,0.18975000000000003,1.7471481893025556
0.35000000000000003,0.19250000000000003,1.7471462580644574
0.355,0.19525,1.7471444214228644
