task,cutoff_a,cutoff_b,feature,hist_mean,test_mean,smd,ks,psi,hist_missing,test_missing,hist_q10,test_q10,hist_q50,test_q50,hist_q90,test_q90,median_delta_iqr,gain,split,gain_share,linear_standardized_coef,signed_ks,abs_smd
p07_early,2025-07-03,2025-07-10,dlog_gmv_30_60,-0.851899162359622,-0.8846386711096704,-0.0241073812078105,0.0129333333333333,0.0007844303359217,0.0,0.0,-2.9861619234085084,-3.073825478553772,-0.1731005162000656,-0.197815716266632,0.0,0.0,-0.022316145545472,222.2964575767517,16.8,0.0096621674192175,0.047225684,-0.0129333333333333,0.0241073812078105
p07_early,2025-07-03,2025-07-10,dlog_buyd_30_60,-0.3565477213852107,-0.3662547676198184,-0.023995315731173,0.0111166666666666,0.0006888101862182,0.0,0.0,-0.9162907600402832,-0.9162907600402832,-0.2876820862293243,-0.2876820862293243,0.0,0.0,0.0,313.4557218551636,24.4,0.0136244261203784,-0.007740809,-0.0111166666666666,0.023995315731173
p07_early,2025-07-03,2025-07-10,w7_gmv_max,70.79396243588951,75.77641689392729,0.0218268258091642,0.0140939735693214,0.0003292293047231,0.7292666666666667,0.7309833333333333,8.738202857971192,8.456525802612305,30.58816146850586,30.36344718933105,154.6416427612305,154.1014404296875,-0.0040792751192341,225.22581405639647,23.8,0.0097894925824047,0.05624282,0.0140939735693214,0.0218268258091642
p07_early,2025-07-03,2025-07-10,trend_gmv_60_180,0.9554466948636674,0.975531504584048,0.0207726053104091,0.01,0.0005643298348975,0.0,0.0,0.0,0.0,0.7220939993858337,0.7431286573410034,2.556314802169799,2.6224472045898435,0.0133522523315874,172.79367389678956,17.4,0.0075105173711372,0.010240052,0.01,0.0207726053104091
p07_early,2025-07-03,2025-07-10,trend_pres_30_60,0.9985425912854572,0.9930148594236622,-0.0187398802797428,0.01105,0.0009064710561937,0.0,0.0,0.6249976754188538,0.6153817772865295,0.9999949932098388,0.9999924898147584,1.3661081552505456,1.3684167861938477,-7.295638736645507e-06,665.4006346702575,62.0,0.0289217939103589,-0.0030892685,-0.01105,0.0187398802797428
p07_early,2025-07-03,2025-07-10,w180_days_presence_only,8.03195,8.200333333333333,0.0186652158551489,0.00805,0.0005727473983633,0.0,0.0,1.0,1.0,5.0,5.0,19.0,19.0,0.0,194.4364835739136,20.2,0.0084512271458327,0.07737963,0.00805,0.0186652158551489
p07_early,2025-07-03,2025-07-10,trend_srch_60_180,1.0766495540355177,1.0861428743300028,0.0178816456247826,0.0092,0.0006185496967503,0.0,0.0,0.4709219306707383,0.4772716671228408,0.9999992847442628,1.0111970901489258,1.783775532245636,1.7999783754348757,0.0175953666945486,283.0539510726929,29.0,0.0123030060566354,-0.0122586535,0.0092,0.0178816456247826
p07_early,2025-07-03,2025-07-10,w7_lgmv_std,0.7689169684211242,0.7789346410021842,0.0178664194889398,0.017435863719489,0.0002360165602141,0.9096166666666666,0.91025,0.1403101086616516,0.144895777106285,0.6711985468864441,0.6758759021759033,1.5111732482910156,1.5266487360000616,0.0064613927910797,109.05172214508056,11.8,0.0047399585589705,0.015654845,0.017435863719489,0.0178664194889398
p07_early,2025-07-03,2025-07-10,w30_days_presence_only,1.5347166666666667,1.5709333333333333,0.0170444144674023,0.0071333333333333,0.0005423883606237,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,63.97344255447388,7.0,0.0027806206139457,-0.05924913,0.0071333333333333,0.0170444144674023
p07_early,2025-07-03,2025-07-10,trend_gmv_30_60,0.7396788558199784,0.7266073656958897,-0.0166107894910045,0.0098333333333333,0.0003893099599014,0.0,0.0,0.0,0.0,0.4660349637269974,0.4396089911460876,1.9999949932098389,1.9999946355819704,-0.0177809417002861,140.6266881942749,15.4,0.0061123718288405,0.009980937,-0.0098333333333333,0.0166107894910045
p07_early,2025-07-03,2025-07-10,trend_pres_60_180,1.0912169208756335,1.09767552977254,0.0163875648964595,0.0094333333333333,0.0006840603733107,0.0,0.0,0.6666533350944519,0.6666600108146667,1.0344762802124023,1.0384597778320312,1.5818129777908323,1.5999903678894043,0.0099683046334896,247.66350975036625,27.0,0.0107647522633726,0.0132075,0.0094333333333333,0.0163875648964595
p07_early,2025-07-03,2025-07-10,w60_days_presence_only,3.0381,3.0994166666666665,0.0163426350745763,0.0067499999999999,0.0003715236971776,0.0,0.0,0.0,0.0,2.0,2.0,8.0,8.0,0.0,46.25854454040528,4.8,0.002010638436577,0.016679207,0.0067499999999999,0.0163426350745763
p07_early,2025-07-03,2025-07-10,dlog_gmv_30_90,-1.375370767029323,-1.401256723678639,-0.0158694755146612,0.0106333333333333,0.0005256222768493,0.0,0.0,-4.006147956848144,-4.0408507823944095,-0.7902558147907257,-0.8140096962451935,0.0,0.0,-0.0110438252730965,94.82326850891111,10.0,0.0041215155003276,-0.005950243,-0.0106333333333333,0.0158694755146612
p07_early,2025-07-03,2025-07-10,w180_ponly_share,0.1438571023282439,0.1460180444015267,0.0158573322222261,0.01155,0.0007449336638223,0.0,0.0,0.0121951214969158,0.0128205129876732,0.1060606017708778,0.1092436984181404,0.3225806355476379,0.3269230723381042,0.0208125567488025,245.2755989074707,25.6,0.0106609611611763,0.008527619,0.01155,0.0158573322222261
p07_early,2025-07-03,2025-07-10,w7_searches,7.852783333333333,7.632183333333334,-0.0156599492091212,0.0067166666666667,0.0004083749399676,0.0,0.0,0.0,0.0,3.0,3.0,21.0,20.0,0.0,175.91556949615477,17.8,0.0076462112921074,-0.022463676,-0.0067166666666667,0.0156599492091212
p07_early,2025-07-03,2025-07-10,w14_days_presence_only,0.73205,0.7495833333333334,0.0144951582405259,0.0057333333333332,0.0001059016072543,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,203.0897087097168,19.8,0.008827341596282,0.08316545,0.0057333333333332,0.0144951582405259
p07_early,2025-07-03,2025-07-10,dlog_buyd_60_180,-0.7048884794781606,-0.6972662169784307,0.0144392078915627,0.0080666666666666,0.0003378793145594,0.0,0.0,-1.3862943649291992,-1.3862943649291992,-0.6931471824645996,-0.6931471824645996,0.0,0.0,0.0,181.4070701599121,19.6,0.0078849006503382,0.035866205,0.0080666666666666,0.0144392078915627
p07_early,2025-07-03,2025-07-10,w14_gmv_max,81.49625591299841,84.61766013212518,0.0140790532272558,0.007563204457578,0.0004094411950614,0.5916333333333333,0.5927333333333333,9.39489631652832,9.448974609375,35.554439544677734,35.39691734313965,176.88034515380872,179.0634307861328,-0.0024182812894478,119.22495756149291,12.8,0.0051821406110824,-0.060065795,0.007563204457578,0.0140790532272558
p07_early,2025-07-03,2025-07-10,w14_days_search,3.994233333333333,3.948683333333333,-0.0137592520678622,0.0054666666666667,0.000274909384905,0.0,0.0,0.0,0.0,3.0,3.0,9.0,9.0,0.0,65.72439203262329,6.4,0.0028567260417374,-0.033458788,-0.0054666666666667,0.0137592520678622
p07_early,2025-07-03,2025-07-10,w60_buyday_rate,0.1353123531182917,0.1371287137702728,0.0128968513420904,0.0079,0.0004928471764665,0.0,0.0,0.0,0.0,0.1034482717514038,0.1052631586790084,0.333333283662796,0.333333283662796,0.0087114574601997,105.38678216934204,11.0,0.0045806610874184,-0.03750978,0.0079,0.0128968513420904
p07_late,2025-10-09,2025-10-16,trend_pres_7_14,0.9343643691847722,0.9609487584590912,0.0469356839691808,0.0258,0.0032745646577992,0.0,0.0,0.0,0.0,0.9999964833259584,0.9999976754188538,1.999971985816956,1.999971985816956,2.235167817517323e-06,916.144489479065,44.6,0.0363342933666317,0.01980251,0.0258,0.0469356839691808
p07_late,2025-10-09,2025-10-16,w7_days_present,2.72335,2.821083333333333,0.0466667864598856,0.0191166666666666,0.0022706432922959,0.0,0.0,0.0,0.0,2.0,3.0,6.0,6.0,0.3333333333333333,55.41150989532471,5.2,0.0021976206586905,0.069876194,0.0191166666666666,0.0466667864598856
