namespace,worktree_root,branch,relative_path,size_bytes,sha256,type,schema_or_arrays
independent_anniversary,C:\Users\Admin\Desktop\exp058-exact-anniversary,exp/058-exact-anniversary,.gitignore,228,6d8453f16242822c73cd61a61fa1cb650aac56db684226c38fc3caae69b443f3,other,unknown
independent_anniversary,C:\Users\Admin\Desktop\exp058-exact-anniversary,exp/058-exact-anniversary,artifacts/EXACT_ANNIVERSARY_EXP058/baseline_parity.json,2634,e7fc830e1a742366c7589f7a9b43ea99f0c45ddade0755d431fa6d8103ed49d3,artifact,keys=status|reason|checkpoints|support|missing_checkpoints|missing_support|forbidden_fallbacks|retrained_seed42_audit
independent_anniversary,C:\Users\Admin\Desktop\exp058-exact-anniversary,exp/058-exact-anniversary,artifacts/EXACT_ANNIVERSARY_EXP058/correction_ANNIV_REAL.npy,2000128,c6af3dcb4730fb6e0ba1f95c5569e4972befa2afaf1e2e203ca220459db2682d,artifact,"array=(250000,):float64"
independent_anniversary,C:\Users\Admin\Desktop\exp058-exact-anniversary,exp/058-exact-anniversary,artifacts/EXACT_ANNIVERSARY_EXP058/correction_ANNIV_SHIFTED.npy,2000128,137d9f87ce78793be699ff2da1152a6dc76474ea33361d7e95f230c5a3fd1860,artifact,"array=(250000,):float64"
independent_anniversary,C:\Users\Admin\Desktop\exp058-exact-anniversary,exp/058-exact-anniversary,artifacts/EXACT_ANNIVERSARY_EXP058/correction_ANNIV_SHUFFLED.npy,2000128,292c1da1d254b883064e7967f3167f95b67f9347354aff144ddaa9a7356ec8d4,artifact,"array=(250000,):float64"
independent_anniversary,C:\Users\Admin\Desktop\exp058-exact-anniversary,exp/058-exact-anniversary,artifacts/EXACT_ANNIVERSARY_EXP058/crossfit_metrics.csv,7331,348b2ce65658b6f67de8412b791515e39f684cfd3c31ddcc6453e6f33ee4417f,artifact;metrics_or_report,"columns=arm,group,cohort,n,base,score,delta,base_offset,offset,correction_mean,correction_var,correction_residual_corr,shrink"
independent_anniversary,C:\Users\Admin\Desktop\exp058-exact-anniversary,exp/058-exact-anniversary,artifacts/EXACT_ANNIVERSARY_EXP058/feature_window_support.json,1574,fda75dd3b3c2529618168fd7666c14afdd9c18dc44a28a7a031f4ddb029e60d6,artifact,keys=raw_start|raw_end|cutoff|windows|note
independent_anniversary,C:\Users\Admin\Desktop\exp058-exact-anniversary,exp/058-exact-anniversary,artifacts/EXACT_ANNIVERSARY_EXP058/novelty_audit.json,991,b4dde91ee4c6dc1b61d805530de494bd753ed2459565e8d6abc73780f0349812,artifact,keys=exact_user_target_window_anniversary_previously_tested|matched_control_previously_tested|closest_prior|exp_023_simultaneous_changes|why_not_equivalent|decision
independent_anniversary,C:\Users\Admin\Desktop\exp058-exact-anniversary,exp/058-exact-anniversary,artifacts/EXACT_ANNIVERSARY_EXP058/preregistered_manifest.json,2419,ffe6cafeecf04f6af69d5785c18566497e778bb291a931802bb20ff1d83cb7e3,artifact,keys=experiment|primary_cutoff|production_cutoff|ordinary_temporal_cv|validation|transfer_risk|year_shift|shifted_control_days|features|ratio_recipe|ridge|correction|base_components|strong_pass|borderline|recipe_parity|production_support|seed_source
independent_anniversary,C:\Users\Admin\Desktop\exp058-exact-anniversary,exp/058-exact-anniversary,artifacts/EXACT_ANNIVERSARY_EXP058/primary_baseline_inference.json,991,acb032aad8e249e0c14bf5bf9b6ea0c8a9b047dc92e8228e8496aed83d5917d3,artifact,keys=cutoff|n|weights_sum|mean_z|components
independent_anniversary,C:\Users\Admin\Desktop\exp058-exact-anniversary,exp/058-exact-anniversary,artifacts/EXACT_ANNIVERSARY_EXP058/primary_y.npy,2000128,05840fd15c5352c773de8165794e673b479d7070f63dc1c236756d3544372170,artifact,"array=(250000,):float64"
independent_anniversary,C:\Users\Admin\Desktop\exp058-exact-anniversary,exp/058-exact-anniversary,artifacts/EXACT_ANNIVERSARY_EXP058/primary_z_ETX-01-S42-DCW.npy,2000128,89a015889fd419abb0b085d98673d976241f3286fc98ce1cf00008cb8e608139,artifact,"array=(250000,):float64"
independent_anniversary,C:\Users\Admin\Desktop\exp058-exact-anniversary,exp/058-exact-anniversary,artifacts/EXACT_ANNIVERSARY_EXP058/primary_z_ETX-01-S43-DCW.npy,2000128,54548d5cc499e576d024f684b376c2e37f9ae5f58c2fd813be702c64b545d97b,artifact,"array=(250000,):float64"
independent_anniversary,C:\Users\Admin\Desktop\exp058-exact-anniversary,exp/058-exact-anniversary,artifacts/EXACT_ANNIVERSARY_EXP058/primary_z_ETX-01-S44-DCW.npy,2000128,faec2a59474ecd81a7711a300b2e828827b5ed22096aae426c825fd3b1ef10ec,artifact,"array=(250000,):float64"
independent_anniversary,C:\Users\Admin\Desktop\exp058-exact-anniversary,exp/058-exact-anniversary,artifacts/EXACT_ANNIVERSARY_EXP058/primary_z_S1-CAP.npy,2000128,a42f3cb921ec427056515c2d18e392c19347e5961e7750b2909429d20e071581,artifact,"array=(250000,):float64"
independent_anniversary,C:\Users\Admin\Desktop\exp058-exact-anniversary,exp/058-exact-anniversary,artifacts/EXACT_ANNIVERSARY_EXP058/primary_z_S1-DIST.npy,2000128,bd466bd72f5063823cd20d2d78293717db1e4a0faab56e52fa3a7d90519207d3,artifact,"array=(250000,):float64"
independent_anniversary,C:\Users\Admin\Desktop\exp058-exact-anniversary,exp/058-exact-anniversary,artifacts/EXACT_ANNIVERSARY_EXP058/primary_z_S1-UNC.npy,2000128,7aa62ca3e8320316c340a60ff5b8288c1af901f16c0afe8bec068a979d6c2ed6,artifact,"array=(250000,):float64"
independent_anniversary,C:\Users\Admin\Desktop\exp058-exact-anniversary,exp/058-exact-anniversary,artifacts/EXACT_ANNIVERSARY_EXP058/primary_z_SEQ-01.npy,2000128,beb953b00e228e9a789569985990acb3157e493d12015b518ec6cef421371601,artifact,"array=(250000,):float64"
independent_anniversary,C:\Users\Admin\Desktop\exp058-exact-anniversary,exp/058-exact-anniversary,artifacts/EXACT_ANNIVERSARY_EXP058/primary_z_SEQ-C289-S43.npy,2000128,fae2d3d84c79de74797546fad5dc4351cfb14086f2aadc10a066f1fe272d4931,artifact,"array=(250000,):float64"
independent_anniversary,C:\Users\Admin\Desktop\exp058-exact-anniversary,exp/058-exact-anniversary,artifacts/EXACT_ANNIVERSARY_EXP058/primary_z_SEQ-C289-S44.npy,2000128,a6aafa97ed3b144c535c4552cf74f22fa395f7932d9fc0eba41ecbc92bab6ec9,artifact,"array=(250000,):float64"
independent_anniversary,C:\Users\Admin\Desktop\exp058-exact-anniversary,exp/058-exact-anniversary,artifacts/EXACT_ANNIVERSARY_EXP058/primary_z_strongest.npy,2000128,cea69e8d42df346b9ac0feb5720f5f3e49cb097e671adf7e377f2065a8df241a,artifact,"array=(250000,):float64"
independent_anniversary,C:\Users\Admin\Desktop\exp058-exact-anniversary,exp/058-exact-anniversary,artifacts/EXACT_ANNIVERSARY_EXP058/shuffle_audit.json,192,f8a49b92cca7abf11f4a0f14a33bb693e89fed7283542831855c142be77ced29,artifact,keys=n|strata|moved_share|strata_preserved|joint_permutation_sha256
