date,filename,score,recipe,source_predictions,experiment_lineage,artifact_path,artifact_sha256,artifact_exists,evidence_strength,external_platform_export_present,verification_scope,notes
2026-08-10,experimental_submission_1.csv,1.667424590457357,15-feature extreme-regularization LightGBM experiment,EXP-MIN direct-model output materialized by src/final_experiments.py; no separately named test prediction artifact recorded,"[""exp_007"",""EXP-MIN""]",submissions/experimental_submission_1.csv,1b950d09c6aefb69fec179b7323d47108b69930deb2c73d3907988f14e58fad6,yes,strong_repository_link,False,repository-internal score-to-existing-file link; not independent platform confirmation,unknown
2026-08-10,experimental_submission_2.csv,1.6682180280505314,0.50 S1-BEST plus 0.50 rank-cohort-similarity prediction,S1-BEST test prediction + rank-cohort-similarity test prediction from src/final_experiments.py,"[""exp_008"",""EXP-SIM""]",submissions/experimental_submission_2.csv,319b777d624f9cd3d7c295829a06db514c89291c5da59c4f3f67ab1c23954b89,yes,strong_repository_link,False,repository-internal score-to-existing-file link; not independent platform confirmation,unknown
2026-08-10,submission_strategy_1.csv,1.6512802628833827,"log-space blend S1-E10=0.45, S1-E02=0.45, S1-E03a=0.10; anchored level 2.3391",S1-E10 + S1-E02 + S1-E03a test predictions,"[""exp_006"",""S1-BEST""]",submissions/submission_strategy_1.csv,b70afce2f4352edb2beb205a17ffb04292ba3ff595f802cfdf6d69edfbdd1de3,yes,strong_repository_link,False,repository-internal score-to-existing-file link; not independent platform confirmation,unknown
2026-08-10,submission_strategy_1_level_high.csv,1.6529908823677866,same S1-BEST log-space blend as submission_strategy_1.csv; only calibration level differs,same S1-E10/S1-E02/S1-E03a prediction shape as submission_strategy_1.csv,"[""exp_006"",""S1-BEST""]",submissions/submission_strategy_1_level_high.csv,d4ce4f929f012da69649de0b29525d7c18fe9d3dc306be072d50cc8b7bceb0ba,yes,strong_repository_link,False,repository-internal score-to-existing-file link; not independent platform confirmation,unknown
2026-08-10,submission_strategy_1_level_low.csv,1.6519789982910107,same S1-BEST log-space blend as submission_strategy_1.csv; only calibration level differs,same S1-E10/S1-E02/S1-E03a prediction shape as submission_strategy_1.csv,"[""exp_006"",""S1-BEST""]",submissions/submission_strategy_1_level_low.csv,44a310304845e90243f0b50166d12351e19be180b7a5e99ec2ae819c4bd5f6ad,yes,strong_repository_link,False,repository-internal score-to-existing-file link; not independent platform confirmation,unknown
2026-08-11,submission_candidate_e11mix.csv,1.6510029,"log-space blend S1-E10=0.10, S1-E02=0.35, S1-DIST=0.30, S1-E11=0.25",blend:S1-E10=0.10|S1-E02=0.35|S1-DIST=0.30|S1-E11=0.25,"[""exp_013"",""exp_016"",""S1-MIX-E11""]",submissions/submission_candidate_e11mix.csv,11bd0dded68d960e8272b3e3cb62bfbe6a66553edf4b0b7b089e96895fed6a8e,yes,strong_repository_link,False,repository-internal score-to-existing-file link; not independent platform confirmation,"exp_013 records the earlier standalone E11 run as not submitted; the later exp_016 evidence is for the E11 mixture, not that standalone model"
2026-08-11,submission_dist_head.csv,1.6507774106,"log-space blend S1-E10=0.15, S1-E02=0.30, S1-E03a=0.10, S1-DIST=0.45",blend:S1-E10=0.15|S1-E02=0.30|S1-E03a=0.10|S1-DIST=0.45,"[""exp_014"",""S1-DIST-MIX""]",submissions/submission_dist_head.csv,5e0b6494aa106c95f96784fae79a28191ee15f4820929635df0e0ac09ed8c72f,yes,strong_repository_link,False,repository-internal score-to-existing-file link; not independent platform confirmation,unknown
2026-08-11,submission_strategy_2.csv,1.6619324597771563,structural offset-Poisson plus binary hurdle; K=5; sigma_scale=0.9; train-only mu_shift=-0.1; calendar alpha=0.5; final log-level 2.3293,S2-BEST full-fit structural offset-Poisson and hurdle outputs produced by the linked team-a-strategy-2-impl worktree,"[""team-a-strategy-2-impl"",""exp_012"",""S2-BEST""]",evidence/worktree_artifacts/team_a_s2/submissions/submission_strategy_2.csv,cab04e8cc94066819ebe1c548624267768c380b1c98b183331c7d13625b01668,yes,strong_repository_link,False,repository-internal score-to-existing-file link; not independent platform confirmation,Copied artifact and linked-worktree source are byte-identical; primary report names this file and gives the exact score. No independent platform export is present.
2026-08-13,submission_SEQ01_mix.csv,1.650176372731295,"log-space blend S1-NORM=0.15, S1-UNC=0.20, S1-CAP=0.10, S1-DIST=0.25, SEQ-01=0.30; SEQ test depth clipped to 289",blend:S1-NORM=0.15|S1-UNC=0.20|S1-CAP=0.10|S1-DIST=0.25|SEQ-01=0.30,"[""exp_025"",""SEQ-01-MIX""]",submissions/submission_SEQ01_mix.csv,ce2f535561a3673c29726833b96fa4444e3b3dc51912c58799ea55a41ef67964,yes,strong_repository_link,False,repository-internal score-to-existing-file link; not independent platform confirmation,unknown
2026-08-13,submission_SEQAVG3_mix.csv,1.6553135958569027,"log-space blend S1-E10=0.10, S1-E02=0.15, S1-E03a=0.10, S1-DIST=0.20, SEQ-AVG3=0.45; full-depth test policy",blend:S1-E10=0.10|S1-E02=0.15|S1-E03a=0.10|S1-DIST=0.20|SEQ-AVG3=0.45,"[""exp_026"",""exp_027"",""SEQ-AVG3-MIX""]",submissions/submission_SEQAVG3_mix.csv,25c1cc5edc559de46c6f2950be78054dd6ece3446c901a2295fb4cbf3f66227b,yes,strong_repository_link,False,repository-internal score-to-existing-file link; not independent platform confirmation,unknown
2026-08-20,submission_STRONGEST_CURRENT.csv,1.6496571,"log-space blend S1-CAP=.10, S1-UNC=.20, S1-DIST=.25, SEQ-01=.075, SEQ-C289-S43=.075, SEQ-C289-S44=.075, ETX-01-S42-DCW=.075, ETX-01-S43-DCW=.075, ETX-01-S44-DCW=.075; shift to level 2.3293 then clip",blend:S1-CAP=0.10|S1-UNC=0.20|S1-DIST=0.25|SEQ-AVG3=0.225|ETX-AVG3(DCW)=0.225,"[""exp_006"",""exp_014"",""exp_025"",""exp_027"",""exp_035"",""exp_036"",""exp_037"",""STRONGEST-CURRENT""]",submissions/submission_STRONGEST_CURRENT.csv,abc2218b1a3d55d41121b7b5a22db7e95ffd45283b42ff0006c5e6e731e04bda,yes,strong_repository_link,False,repository-internal score-to-existing-file link; not independent platform confirmation,unknown
