cutoff,depth,real_depth,eff_depth,n,n_never,share_never,n_hidden,share_hidden,share_of_empty,z_never,z_hidden,d_z,pos_never,pos_hidden,sum_z_never,sum_z_hidden,sum_pos_never,sum_pos_hidden,panel
2025-09-18,90,261,90,191025,20572,0.10769271037822274,17059,0.08930244732364874,0.45332305811697804,0.44071250610341595,1.1088916585037312,0.6681791524003152,0.1247812560762201,0.30640717509818866,9066.337675559473,18916.58280241515,2567.0,5227.0,валидация
2025-09-18,120,261,120,191025,20572,0.10769271037822274,10974,0.05744797801334904,0.347872947441831,0.44071250610341595,0.9939215069402052,0.5532090008367893,0.1247812560762201,0.27665390924002187,9066.337675559473,10907.294617161811,2567.0,3036.0,валидация
2025-09-18,150,261,150,191025,20572,0.10769271037822274,7212,0.037754220651747154,0.2595738554563778,0.44071250610341595,0.9280896579529502,0.48737715184953423,0.1247812560762201,0.25873544093178036,9066.337675559473,6693.382613156677,2567.0,1866.0,валидация
2025-09-18,180,261,180,191025,20572,0.10769271037822274,4602,0.02409108755398508,0.18280765869547946,0.44071250610341595,0.8868382243024727,0.4461257181990568,0.1247812560762201,0.247283789656671,9066.337675559473,4081.2295082399796,2567.0,1138.0,валидация
2025-09-18,220,261,220,191025,20572,0.10769271037822274,1719,0.008998822143698468,0.07711632497420484,0.44071250610341595,0.8861399255256175,0.44542741942220154,0.1247812560762201,0.24956369982547993,9066.337675559473,1523.2745319785365,2567.0,429.0,валидация
2025-09-18,254,261,254,191025,20572,0.10769271037822274,221,0.001156916633948436,0.010628576924926659,0.44071250610341595,0.9930852267218855,0.5523727206184695,0.1247812560762201,0.28054298642533937,9066.337675559473,219.47183510553668,2567.0,62.0,валидация
2025-09-18,289,261,261,191025,20572,0.10769271037822274,0,0.0,0.0,0.44071250610341595,NaN,NaN,0.1247812560762201,NaN,9066.337675559473,0.0,2567.0,0.0,валидация
2025-04-03,90,93,90,213414,71426,0.3346828230575314,631,0.002956694499892228,0.008756956298485922,0.5678323309209322,1.125479238063705,0.5576469071427729,0.15623162433847618,0.30427892234548337,40557.9920683585,710.1773992181979,11159.0,192.0,обучение
2025-04-03,120,93,93,213414,71426,0.3346828230575314,0,0.0,0.0,0.5678323309209322,NaN,NaN,0.15623162433847618,NaN,40557.9920683585,0.0,11159.0,0.0,обучение
2025-04-03,150,93,93,213414,71426,0.3346828230575314,0,0.0,0.0,0.5678323309209322,NaN,NaN,0.15623162433847618,NaN,40557.9920683585,0.0,11159.0,0.0,обучение
2025-04-03,180,93,93,213414,71426,0.3346828230575314,0,0.0,0.0,0.5678323309209322,NaN,NaN,0.15623162433847618,NaN,40557.9920683585,0.0,11159.0,0.0,обучение
2025-04-03,220,93,93,213414,71426,0.3346828230575314,0,0.0,0.0,0.5678323309209322,NaN,NaN,0.15623162433847618,NaN,40557.9920683585,0.0,11159.0,0.0,обучение
2025-04-03,254,93,93,213414,71426,0.3346828230575314,0,0.0,0.0,0.5678323309209322,NaN,NaN,0.15623162433847618,NaN,40557.9920683585,0.0,11159.0,0.0,обучение
2025-04-03,289,93,93,213414,71426,0.3346828230575314,0,0.0,0.0,0.5678323309209322,NaN,NaN,0.15623162433847618,NaN,40557.9920683585,0.0,11159.0,0.0,обучение
2025-04-10,90,100,90,214769,69971,0.3257965535063254,2913,0.013563409989337381,0.03996761977937545,0.5480297530348607,1.1254850065852282,0.5774552535503675,0.15117691615097684,0.30175077239958803,38346.18984960223,3278.53782418277,10578.0,879.0,обучение
2025-04-10,120,100,100,214769,69971,0.3257965535063254,0,0.0,0.0,0.5480297530348607,NaN,NaN,0.15117691615097684,NaN,38346.18984960223,0.0,10578.0,0.0,обучение
2025-04-10,150,100,100,214769,69971,0.3257965535063254,0,0.0,0.0,0.5480297530348607,NaN,NaN,0.15117691615097684,NaN,38346.18984960223,0.0,10578.0,0.0,обучение
2025-04-10,180,100,100,214769,69971,0.3257965535063254,0,0.0,0.0,0.5480297530348607,NaN,NaN,0.15117691615097684,NaN,38346.18984960223,0.0,10578.0,0.0,обучение
2025-04-10,220,100,100,214769,69971,0.3257965535063254,0,0.0,0.0,0.5480297530348607,NaN,NaN,0.15117691615097684,NaN,38346.18984960223,0.0,10578.0,0.0,обучение
2025-04-10,254,100,100,214769,69971,0.3257965535063254,0,0.0,0.0,0.5480297530348607,NaN,NaN,0.15117691615097684,NaN,38346.18984960223,0.0,10578.0,0.0,обучение
2025-04-10,289,100,100,214769,69971,0.3257965535063254,0,0.0,0.0,0.5480297530348607,NaN,NaN,0.15117691615097684,NaN,38346.18984960223,0.0,10578.0,0.0,обучение
